                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 3.5408,                 5.8042,                 3.7143,                      0,                      0,                      0,                      0,                 3.6174,                 7.0043,                  3.774,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.9811,                 5.1336,                 3.2226,                      0,                      0,                      0,                      0,                 3.6174,                 7.0043,                  3.774,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 2.6594,                 5.1787,                 3.0801,                      0,                      0,                      0,                      0,                 3.6244,                 6.7443,                 3.7279,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.4897,                 5.3263,                 2.8919,                      0,                      0,                      0,                      0,                 3.6244,                 6.7443,                 3.7279,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.6316,                 4.9032,                 3.2938,                      0,                      0,                      0,                      0,                 3.6244,                 6.7443,                 3.7279,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 2.5326,                 5.1299,                  3.041,                      0,                      0,                      0,                      0,                 3.6261,                 6.6358,                 3.7172,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 2.6184,                 5.5214,                 2.8255,                      0,                      0,                      0,                      0,                 3.6261,                 6.6358,                 3.7172,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                  2.897,                 5.3614,                 3.2699,                      0,                      0,                      0,                      0,                 3.6261,                 6.6358,                 3.7172,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 2.5945,                 4.9374,                 2.9411,                      0,                      0,                      0,                      0,                  3.638,                 6.4334,                 3.7114,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 2.7037,                 4.9426,                 3.2324,                      0,                      0,                      0,                      0,                  3.638,                 6.4334,                 3.7114,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                  2.408,                 4.9562,                  2.768,                      0,                      0,                      0,                      0,                  3.638,                 6.4334,                 3.7114,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 2.7183,                 5.0507,                 3.0638,                      0,                      0,                      0,                      0,                 3.6379,                 6.2774,                  3.698,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 2.4583,                 4.9201,                 2.7876,                      0,                      0,                      0,                      0,                 3.6379,                 6.2774,                  3.698,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 2.8954,                 4.9704,                 3.0821,                      0,                      0,                      0,                      0,                 3.6379,                 6.2774,                  3.698,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 3.3236,                 5.8519,                 3.2729,                      0,                      0,                      0,                      0,                 3.6457,                  6.205,                 3.6764,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 2.6386,                 4.7206,                  3.052,                      0,                      0,                      0,                      0,                 3.6457,                  6.205,                 3.6764,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 2.9963,                 4.9957,                 3.7376,                      0,                      0,                      0,                      0,                 3.6457,                  6.205,                 3.6764,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.8773,                 5.0095,                 3.1405,                      0,                      0,                      0,                      0,                 3.6235,                 6.1789,                 3.6852,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                  2.613,                 5.1992,                 3.0114,                      0,                      0,                      0,                      0,                 3.6235,                 6.1789,                 3.6852,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 2.5967,                 4.9349,                 2.9181,                      0,                      0,                      0,                      0,                 3.6235,                 6.1789,                 3.6852,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 2.1805,                 5.0299,                 2.4347,                      0,                      0,                      0,                      0,                 3.6526,                 6.1919,                 3.7029,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 2.4008,                 4.7516,                 2.8355,                      0,                      0,                      0,                      0,                 3.6526,                 6.1919,                 3.7029,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 2.6413,                 4.8125,                 2.7898,                      0,                      0,                      0,                      0,                 3.6526,                 6.1919,                 3.7029,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                  2.881,                 4.9276,                 3.1632,                      0,                      0,                      0,                      0,                 3.6426,                 6.1935,                 3.7087,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 2.4167,                 4.8811,                 2.8363,                      0,                      0,                      0,                      0,                 3.6426,                 6.1935,                 3.7087,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 2.4221,                  4.757,                 2.7311,                      0,                      0,                      0,                      0,                 3.6426,                 6.1935,                 3.7087,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.5095,                 4.8984,                 2.8811,                      0,                      0,                      0,                      0,                 3.6267,                 6.1902,                 3.6889,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 2.5095,                 4.9934,                 2.6389,                      0,                      0,                      0,                      0,                 3.6267,                 6.1902,                 3.6889,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 2.4528,                 4.7633,                 2.6395,                      0,                      0,                      0,                      0,                 3.6267,                 6.1902,                 3.6889,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                  2.603,                 4.8312,                 3.0507,                      0,                      0,                      0,                      0,                 3.6268,                  6.237,                 3.6898,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 2.6809,                 4.7228,                 2.9444,                      0,                      0,                      0,                      0,                 3.6268,                  6.237,                 3.6898,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 3.0803,                 5.1666,                 3.2629,                      0,                      0,                      0,                      0,                 3.6268,                  6.237,                 3.6898,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.9564,                 4.8518,                 3.5267,                      0,                      0,                      0,                      0,                  3.631,                  6.189,                 3.6732,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 2.5988,                 4.8585,                 2.7688,                      0,                      0,                      0,                      0,                  3.631,                  6.189,                 3.6732,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 2.7568,                 5.0705,                 2.8184,                      0,                      0,                      0,                      0,                  3.631,                  6.189,                 3.6732,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 2.6209,                 4.5587,                 3.2212,                      0,                      0,                      0,                      0,                  3.631,                  6.189,                 3.6732,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 2.7507,                 5.0311,                 2.9674,                      0,                      0,                      0,                      0,                 3.6549,                 6.1843,                 3.6654,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.7467,                 5.0334,                 2.8929,                      0,                      0,                      0,                      0,                 3.6549,                 6.1843,                 3.6654,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 2.4312,                 4.9238,                 3.1093,                      0,                      0,                      0,                      0,                 3.6549,                 6.1843,                 3.6654,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.7788,                 5.4538,                 3.3878,                      0,                      0,                      0,                      0,                 3.6549,                 6.1843,                 3.6654,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.7759,                 5.3162,                 3.0685,                      0,                      0,                      0,                      0,                 3.6428,                 6.1823,                 3.6728,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.6325,                  5.275,                  2.983,                      0,                      0,                      0,                      0,                 3.6428,                 6.1823,                 3.6728,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.8953,                 5.3815,                  3.271,                      0,                      0,                      0,                      0,                 3.6428,                 6.1823,                 3.6728,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                  2.835,                 5.1708,                 3.1683,                      0,                      0,                      0,                      0,                 3.6428,                 6.1823,                 3.6728,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 3.1271,                 5.3447,                 3.4808,                      0,                      0,                      0,                      0,                 3.6442,                 6.1712,                 3.6786,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 3.1212,                 4.9624,                  3.472,                      0,                      0,                      0,                      0,                 3.6442,                 6.1712,                 3.6786,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 3.1347,                 5.2841,                 3.3723,                      0,                      0,                      0,                      0,                 3.6442,                 6.1712,                 3.6786,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.6289,                 5.1362,                 3.2191,                      0,                      0,                      0,                      0,                 3.6442,                 6.1712,                 3.6786,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 3.1562,                 5.1038,                 3.4905,                      0,                      0,                      0,                      0,                 3.6597,                 6.1341,                 3.6827,             2.3444e-06,             2.3444e-06,             2.3444e-06
